Nome,url,Data Criacao,Data de Atualizacao,Total de releases,Linguagem,Idade,Tempo de Atualizacao em dias
openai/baselines,https://github.com/openai/baselines,2020-04-02,2020-04-02T02:07:08Z,0,Python,2,1
joke2k/faker,https://github.com/joke2k/faker,2020-04-02,2020-04-02T02:37:45Z,5,Python,7,1
getpelican/pelican,https://github.com/getpelican/pelican,2020-04-01,2020-04-01T23:28:20Z,9,Python,9,0
chiphuyen/stanford-tensorflow-tutorials,https://github.com/chiphuyen/stanford-tensorflow-tutorials,2020-04-01,2020-04-01T21:23:45Z,1,Python,3,0
meolu/walle-web,https://github.com/meolu/walle-web,2020-04-02,2020-04-02T02:50:04Z,20,Python,4,1
sivel/speedtest-cli,https://github.com/sivel/speedtest-cli,2020-04-02,2020-04-02T02:48:07Z,21,Python,7,1
aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,2020-04-01,2020-04-01T19:56:50Z,119,Python,6,0
mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,2020-04-02,2020-04-02T00:29:52Z,0,Python,6,1
aws/aws-cli,https://github.com/aws/aws-cli,2020-04-01,2020-04-01T23:48:22Z,1,Python,7,0
tflearn/tflearn,https://github.com/tflearn/tflearn,2020-04-01,2020-04-01T21:27:34Z,7,Python,4,0
alexjc/neural-doodle,https://github.com/alexjc/neural-doodle,2020-04-01,2020-04-01T18:14:28Z,1,Python,4,0
codelucas/newspaper,https://github.com/codelucas/newspaper,2020-04-01,2020-04-01T16:44:07Z,2,Python,6,0
jhao104/proxy_pool,https://github.com/jhao104/proxy_pool,2020-04-02,2020-04-02T02:10:27Z,0,Python,3,1
beetbox/beets,https://github.com/beetbox/beets,2020-04-01,2020-04-01T22:12:21Z,31,Python,9,0
NVlabs/stylegan,https://github.com/NVlabs/stylegan,2020-04-02,2020-04-02T02:38:31Z,0,Python,1,1
deeppomf/DeepCreamPy,https://github.com/deeppomf/DeepCreamPy,2020-04-01,2020-04-01T21:54:35Z,11,Python,2,0
waditu/tushare,https://github.com/waditu/tushare,2020-04-01,2020-04-01T12:53:54Z,1,Python,5,0
Theano/Theano,https://github.com/Theano/Theano,2020-04-02,2020-04-02T02:21:31Z,0,Python,8,1
pallets/click,https://github.com/pallets/click,2020-04-02,2020-04-02T00:35:52Z,2,Python,5,1
Rochester-NRT/RocAlphaGo,https://github.com/Rochester-NRT/RocAlphaGo,2020-04-01,2020-04-01T23:30:29Z,0,Python,4,0
apenwarr/sshuttle,https://github.com/apenwarr/sshuttle,2020-03-31,2020-03-31T23:47:43Z,0,Python,9,1
mail-in-a-box/mailinabox,https://github.com/mail-in-a-box/mailinabox,2020-04-01,2020-04-01T16:53:28Z,10,Python,6,0
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,2020-04-02,2020-04-02T02:28:05Z,2,Python,0,1
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,2020-04-01,2020-04-01T23:52:31Z,0,Python,1,0
lengstrom/fast-style-transfer,https://github.com/lengstrom/fast-style-transfer,2020-04-01,2020-04-01T22:50:21Z,0,Python,3,0
horovod/horovod,https://github.com/horovod/horovod,2020-04-02,2020-04-02T00:25:40Z,1,Python,2,1
nltk/nltk,https://github.com/nltk/nltk,2020-04-02,2020-04-02T01:34:57Z,0,Python,10,1
wifiphisher/wifiphisher,https://github.com/wifiphisher/wifiphisher,2020-04-02,2020-04-02T00:50:53Z,4,Python,5,1
nbedos/termtosvg,https://github.com/nbedos/termtosvg,2020-04-01,2020-04-01T21:50:54Z,12,Python,1,0
chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,2020-04-02,2020-04-02T02:25:25Z,1,Python,6,1
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,2020-04-02,2020-04-02T01:16:29Z,54,Python,3,1
USTC-Resource/USTC-Course,https://github.com/USTC-Resource/USTC-Course,2020-04-02,2020-04-02T01:58:20Z,0,Python,1,1
postmanlabs/httpbin,https://github.com/postmanlabs/httpbin,2020-04-02,2020-04-02T02:25:13Z,4,Python,8,1
dbcli/pgcli,https://github.com/dbcli/pgcli,2020-04-01,2020-04-01T16:48:39Z,0,Python,5,0
wagtail/wagtail,https://github.com/wagtail/wagtail,2020-04-01,2020-04-01T14:04:09Z,114,Python,6,0
dbcli/mycli,https://github.com/dbcli/mycli,2020-03-31,2020-03-31T18:45:04Z,0,Python,4,1
pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,2020-04-01,2020-04-01T16:26:54Z,0,Python,2,0
ddbourgin/numpy-ml,https://github.com/ddbourgin/numpy-ml,2020-04-01,2020-04-01T18:26:22Z,0,Python,0,0
aleju/imgaug,https://github.com/aleju/imgaug,2020-04-02,2020-04-02T02:20:06Z,3,Python,4,1
andymccurdy/redis-py,https://github.com/andymccurdy/redis-py,2020-04-01,2020-04-01T04:56:09Z,0,Python,10,0
flairNLP/flair,https://github.com/flairNLP/flair,2020-04-02,2020-04-02T01:26:28Z,11,Python,1,1
ShangtongZhang/reinforcement-learning-an-introduction,https://github.com/ShangtongZhang/reinforcement-learning-an-introduction,2020-04-01,2020-04-01T23:56:33Z,0,Python,3,0
Eloston/ungoogled-chromium,https://github.com/Eloston/ungoogled-chromium,2020-04-02,2020-04-02T01:40:56Z,26,Python,4,1
deepmind/sonnet,https://github.com/deepmind/sonnet,2020-04-01,2020-04-01T13:28:03Z,2,Python,2,0
allenai/allennlp,https://github.com/allenai/allennlp,2020-04-01,2020-04-01T19:40:59Z,22,Python,2,0
darknessomi/musicbox,https://github.com/darknessomi/musicbox,2020-04-02,2020-04-02T02:49:42Z,10,Python,5,1
python/mypy,https://github.com/python/mypy,2020-04-02,2020-04-02T01:26:44Z,0,Python,7,1
facebook/chisel,https://github.com/facebook/chisel,2020-04-01,2020-04-01T20:57:10Z,10,Python,6,0
hindupuravinash/the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,2020-04-02,2020-04-02T01:46:16Z,0,Python,2,1
mailpile/Mailpile,https://github.com/mailpile/Mailpile,2020-04-01,2020-04-01T18:07:47Z,8,Python,8,0
RasaHQ/rasa,https://github.com/RasaHQ/rasa,2020-04-01,2020-04-01T18:16:07Z,22,Python,3,0
Unity-Technologies/ml-agents,https://github.com/Unity-Technologies/ml-agents,2020-04-01,2020-04-01T22:19:23Z,40,Python,2,0
rushter/MLAlgorithms,https://github.com/rushter/MLAlgorithms,2020-04-01,2020-04-01T20:58:07Z,0,Python,3,0
asciinema/asciinema,https://github.com/asciinema/asciinema,2020-04-01,2020-04-01T13:25:41Z,12,Python,8,0
h2y/Shadowrocket-ADBlock-Rules,https://github.com/h2y/Shadowrocket-ADBlock-Rules,2020-04-02,2020-04-02T02:36:32Z,0,Python,3,1
donnemartin/awesome-aws,https://github.com/donnemartin/awesome-aws,2020-04-01,2020-04-01T21:00:57Z,1,Python,4,0
idank/explainshell,https://github.com/idank/explainshell,2020-04-01,2020-04-01T18:00:20Z,0,Python,6,0
MorvanZhou/tutorials,https://github.com/MorvanZhou/tutorials,2020-04-01,2020-04-01T16:20:02Z,0,Python,3,0
threat9/routersploit,https://github.com/threat9/routersploit,2020-04-01,2020-04-01T12:23:47Z,10,Python,4,0
gleitz/howdoi,https://github.com/gleitz/howdoi,2020-04-01,2020-04-01T09:56:18Z,0,Python,7,0
eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,https://github.com/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2020-04-01,2020-04-01T17:08:37Z,0,Python,1,0
s0md3v/XSStrike,https://github.com/s0md3v/XSStrike,2020-04-02,2020-04-02T00:58:42Z,14,Python,2,1
coursera-dl/coursera-dl,https://github.com/coursera-dl/coursera-dl,2020-04-01,2020-04-01T15:50:38Z,0,Python,8,0
eliangcs/http-prompt,https://github.com/eliangcs/http-prompt,2020-04-01,2020-04-01T15:14:52Z,15,Python,3,0
scrapinghub/portia,https://github.com/scrapinghub/portia,2020-04-01,2020-04-01T16:42:30Z,1,Python,6,0
falconry/falcon,https://github.com/falconry/falcon,2020-04-01,2020-04-01T18:11:16Z,0,Python,7,0
dragen1860/Deep-Learning-with-TensorFlow-book,https://github.com/dragen1860/Deep-Learning-with-TensorFlow-book,2020-04-01,2020-04-01T15:14:45Z,0,Python,0,0
thumbor/thumbor,https://github.com/thumbor/thumbor,2020-04-01,2020-04-01T21:57:30Z,93,Python,9,0
google/jax,https://github.com/google/jax,2020-04-02,2020-04-02T02:10:13Z,0,Python,1,1
zalandoresearch/fashion-mnist,https://github.com/zalandoresearch/fashion-mnist,2020-04-02,2020-04-02T01:43:26Z,0,Python,2,1
lauris/awesome-scala,https://github.com/lauris/awesome-scala,2020-04-01,2020-04-01T13:28:36Z,0,Python,5,0
coleifer/peewee,https://github.com/coleifer/peewee,2020-04-02,2020-04-02T00:56:03Z,113,Python,9,1
kovidgoyal/calibre,https://github.com/kovidgoyal/calibre,2020-04-02,2020-04-02T02:19:06Z,178,Python,6,1
harelba/q,https://github.com/harelba/q,2020-04-01,2020-04-01T17:35:45Z,10,Python,8,0
divio/django-cms,https://github.com/divio/django-cms,2020-04-01,2020-04-01T13:25:00Z,0,Python,11,0
facebookresearch/maskrcnn-benchmark,https://github.com/facebookresearch/maskrcnn-benchmark,2020-04-01,2020-04-01T13:19:44Z,1,Python,1,0
clips/pattern,https://github.com/clips/pattern,2020-04-01,2020-04-01T18:17:04Z,0,Python,8,0
pytorch/fairseq,https://github.com/pytorch/fairseq,2020-04-02,2020-04-02T00:55:13Z,10,Python,2,1
ranger/ranger,https://github.com/ranger/ranger,2020-04-02,2020-04-02T01:33:05Z,0,Python,10,1
NVIDIA/vid2vid,https://github.com/NVIDIA/vid2vid,2020-04-02,2020-04-02T01:52:53Z,0,Python,1,1
sfyc23/EverydayWechat,https://github.com/sfyc23/EverydayWechat,2020-04-02,2020-04-02T02:00:56Z,0,Python,1,1
apprenticeharper/DeDRM_tools,https://github.com/apprenticeharper/DeDRM_tools,2020-04-02,2020-04-02T01:34:22Z,76,Python,5,1
openai/universe,https://github.com/openai/universe,2020-03-31,2020-03-31T19:33:49Z,2,Python,3,1
python-pillow/Pillow,https://github.com/python-pillow/Pillow,2020-04-01,2020-04-01T20:28:04Z,29,Python,7,0
facebookresearch/visdom,https://github.com/facebookresearch/visdom,2020-04-02,2020-04-02T01:58:18Z,2,Python,3,1
