Nome,url,Data Criacao,Data de Atualizacao,Total de releases,Linguagem,Idade,Tempo de Atualizacao em dias,Loc
python/mypy,https://github.com/python/mypy,2020-03-26,2020-03-26T17:02:25Z,0,Python,7,0,4068
gvanrossum/ballot-box,https://github.com/gvanrossum/ballot-box,2020-01-11,2020-01-11T17:54:01Z,0,Python,5,75,26
fake-python/cpython,https://github.com/fake-python/cpython,2019-05-25,2019-05-25T15:01:57Z,6,Python,4,306,390
edreamleo/make-stub-files,https://github.com/edreamleo/make-stub-files,2020-02-07,2020-02-07T11:43:26Z,0,Python,4,48,1648
ilevkivskyi/com2ann,https://github.com/ilevkivskyi/com2ann,2020-03-10,2020-03-10T07:47:23Z,0,Python,3,16,4561
neogeny/TatSu,https://github.com/neogeny/TatSu,2020-03-25,2020-03-25T19:57:36Z,13,Python,2,1,16781
gvanrossum/mypy-dummy,https://github.com/gvanrossum/mypy-dummy,2020-01-11,2020-01-11T17:53:53Z,0,Python,2,75,11608
gvanrossum/pep550,https://github.com/gvanrossum/pep550,2020-01-11,2020-01-11T17:53:51Z,0,Python,2,75,359706
python/mypy_extensions,https://github.com/python/mypy_extensions,2020-02-10,2020-02-10T14:34:54Z,0,Python,1,45,355
neogeny/pygl,https://github.com/neogeny/pygl,2019-07-12,2019-07-12T07:08:44Z,0,Python,0,258,35
gvanrossum/pegen,https://github.com/gvanrossum/pegen,2020-03-26,2020-03-26T15:03:50Z,0,Python,0,0,112759
gvanrossum/guidos_time_machine,https://github.com/gvanrossum/guidos_time_machine,2020-03-25,2020-03-25T08:11:38Z,0,Python,0,1,669
